disease,information,recommendation,medicine,symptoms 
Common Cold,The common cold is a viral infection of the upper respiratory tract.,"Rest, drink plenty of fluids, and consider using saline nasal sprays to relieve congestion.",Over-the-counter medications such as decongestants and pain relievers can help alleviate symptoms.,"Runny or stuffy nose, sore throat, cough, congestion, slight body aches, sneezing, low-grade fever"
Influenza,"Influenza, commonly known as the flu, is a contagious respiratory illness caused by influenza viruses that infect the nose, throat, and sometimes the lungs.","Get plenty of rest, drink fluids, and consider over-the-counter medications for symptom relief. It's also advisable to stay home from work or school to prevent spreading the virus to others.",Antiviral medications like oseltamivir (Tamiflu) or zanamivir (Relenza) can be prescribed by a healthcare provider to reduce the severity and duration of symptoms if taken early.," Fever, chills, cough, sore throat, runny or stuffy nose, muscle or body aches, fatigue, headaches."
Strep Throat,Strep throat is a bacterial infection caused by Group A Streptococcus bacteria. It affects the throat and tonsils and is highly contagious.,"Rest, drink plenty of fluids, and take over-the-counter pain relievers like acetaminophen or ibuprofen to alleviate symptoms. It's crucial to complete the full course of antibiotics as prescribed by a healthcare provider.",Antibiotics such as penicillin or amoxicillin are commonly prescribed to treat strep throat and prevent complications.," Sudden and severe sore throat, pain when swallowing, fever, swollen tonsils, red spots on the roof of the mouth, and swollen lymph nodes in the neck."
COVID-19,"COVID-19 is a respiratory illness caused by the novel coronavirus SARS-CoV-2, first identified in Wuhan, China, in late 2019.","Follow public health guidelines, including wearing masks, practicing physical distancing, washing hands frequently, and getting vaccinated when eligible. Seek medical attention if you have severe symptoms such as difficulty breathing, persistent chest pain, confusion, or bluish lips or face.","There are currently no specific antiviral medications approved to treat COVID-19, but supportive care and medications to alleviate symptoms are used depending on the severity of the illness"," Common symptoms include fever, cough, shortness of breath, fatigue, body aches, loss of taste or smell, sore throat, congestion, nausea or vomiting, and diarrhea"
Gastroenteritis,"Gastroenteritis, commonly known as stomach flu, is inflammation of the stomach and intestines caused by viral or bacterial infections, or sometimes parasites.","Drink plenty of fluids to prevent dehydration, and consider oral rehydration solutions to replace lost electrolytes. Eat bland foods like crackers, rice, bananas, and toast. Rest and avoid dairy products, caffeine, alcohol, and spicy foods until symptoms improve","Treatment focuses on symptom relief with over-the-counter medications for cough and fever, and in some cases, bronchodilators or steroids to reduce inflammation","Symptoms include diarrhea, vomiting, abdominal cramps, nausea, fever, and sometimes headache or body aches."
Bronchitis,"Bronchitis is an inflammation of the bronchial tubes (airways) in the lungs, typically caused by viral infections (acute bronchitis) or prolonged exposure to irritants (chronic bronchitis).","Rest, drink fluids, use a humidifier, and avoid irritants such as smoke or pollutants. Seek medical attention if symptoms worsen or if you have a high fever or difficulty breathing.","Rest, stay hydrated, take prescribed medications as directed, and follow up with a healthcare provider for monitoring and recovery.","Common symptoms include cough (with or without mucus), chest discomfort, fatigue, mild fever, and shortness of breath."
Pneumonia,"Pneumonia is an infection that inflames air sacs in one or both lungs, which may fill with fluid or pus, causing cough with phlegm or pus, fever, chills, and difficulty breathing.","Rest, stay hydrated, take prescribed medications as directed, and follow up with a healthcare provider for monitoring and recovery.","Treatment typically involves antibiotics for bacterial pneumonia, antiviral medications for viral pneumonia, and supportive care to relieve symptoms such as fever and pain.","Symptoms vary but often include cough, fever, chills, chest pain, rapid breathing, and fatigue."
Asthma,"Asthma is a chronic lung disease characterized by inflammation and narrowing of the airways, leading to recurrent episodes of wheezing, coughing, chest tightness, and shortness of breath.","Use asthma action plans, avoid triggers like allergens and smoke, maintain a healthy lifestyle, and regularly monitor lung function.",Treatment involves long-term control medications (such as inhaled corticosteroids) to reduce inflammation and rescue medications (such as bronchodilators) to relieve acute symptoms.,"Symptoms include wheezing, coughing (especially at night or early morning), shortness of breath, and chest tightness."
Allergies,"Allergies are an immune system response to substances (allergens) that are usually harmless, causing symptoms such as sneezing, runny nose, itchy eyes, and skin rashes."," Identify and avoid triggers, use medications as directed, keep indoor air clean, and consult with an allergist for personalized management.","Treatment includes avoiding allergens, using over-the-counter or prescription antihistamines, nasal corticosteroids, and allergy shots (immunotherapy) for severe allergies.","Symptoms vary depending on the allergen but commonly include sneezing, runny or stuffy nose, itchy eyes or skin, and swelling or hives."
Diabetes,"Diabetes is a chronic condition where the body either does not produce enough insulin (Type 1 diabetes) or cannot effectively use insulin (Type 2 diabetes), leading to high blood sugar levels.","Follow a diabetes management plan, monitor blood sugar levels regularly, maintain a healthy diet and weight, exercise regularly, and seek medical care for personalized guidance.","Treatment includes insulin therapy (for Type 1 diabetes), oral medications or insulin injections (for Type 2 diabetes), blood sugar monitoring, healthy eating, and regular exercise.","Symptoms include increased thirst, frequent urination, extreme hunger, unexplained weight loss, fatigue, blurred vision, and slow healing of wounds."
